feature,target
Tokyo,85317.73837835173
Paris,73547.24064592883
New York,134628.5195501585
New York,134385.38488537434
Tokyo,66555.2950306239
Mumbai,51903.90541258949
Paris,66331.63316512563
New York,132778.22072781733
Tokyo,84500.46526352155
New York,132845.62301762897
Paris,89546.20006244743
Paris,80947.98393813292
London,146395.8803208348
Tokyo,77243.38662793246
Paris,65890.04669194219
London,140262.60622641267
London,121345.60704070707
New York,134505.97018983134
New York,139294.26694473115
London,124956.1181801355
New York,133898.72352941544
Paris,86895.80926545436
Mumbai,66467.75668284543
Paris,85128.29014227523
London,127745.19762573508
London,140238.23558748647
Paris,73901.8292331227
New York,137184.29229818736
New York,139540.33127585042
London,141641.80353318865
Tokyo,85886.41508737237
New York,130021.03843175883
Paris,86527.16374194784
New York,138295.8755686525
Paris,66216.76212634044
London,146147.9318186469
New York,132566.94228310045
Paris,84958.76305934165
London,144010.6463707022
Tokyo,79879.93539178066
Paris,67768.54376219772
Tokyo,77889.64556581105
Tokyo,76487.50970166431
Mumbai,67009.63804222815
New York,134042.3972964421
Paris,74632.4329126115
Tokyo,82495.52293309399
Mumbai,52380.2597825019
London,139382.88525015188
Paris,84393.50270373821
Tokyo,86641.17193080354
New York,135986.92402319098
Mumbai,55064.6082988596
Tokyo,64166.13979189551
New York,131157.37606678705
Tokyo,64629.64695849238
Paris,70155.45443981283
Paris,84136.31277990901
Paris,87229.43750823736
Mumbai,55899.74568779256
Paris,89870.53197636473
New York,139912.63226733633
Tokyo,84600.37887358069
London,140846.47121027877
New York,135324.92699437146
New York,134488.53071674707
Paris,67531.77141633627
Mumbai,51981.06245184073
Tokyo,87304.03910346402
Mumbai,64240.67889719659
Tokyo,66481.54095035061
Tokyo,73998.23354091648
Mumbai,64501.696076756336
New York,130673.84554785522
Tokyo,71621.77757005978
Mumbai,65555.23710621842
Tokyo,72116.93592510371
London,122328.43934194323
New York,135425.34368532253
Paris,90852.27484754886
Tokyo,77708.5662885948
London,126788.37324642696
Paris,76527.18860412145
Paris,78503.70083545797
Tokyo,77377.9906146158
Mumbai,62780.53077257839
Tokyo,62966.20852921906
London,146689.56099052698
Paris,65369.29109048227
Tokyo,71101.57004022766
Mumbai,40822.60929917973
Tokyo,71789.22676035874
New York,135258.12598873323
Mumbai,55350.44159744535
London,124968.85041084795
Paris,84372.21530286837
Tokyo,61343.35351514005
Mumbai,62857.20460397247
New York,139466.44433993546
Mumbai,50193.064814533536
New York,135172.3938171433
London,131367.30834176444
Paris,65201.3117091218
London,131576.23508685347
Tokyo,83751.6077778404
Mumbai,57879.66526550445
New York,131012.5991461516
New York,138471.39489693785
Mumbai,55932.560346557286
Mumbai,65251.700852340284
Tokyo,77406.64556355088
London,136790.65334513818
New York,131052.59185197012
Tokyo,65020.79199415884
London,149160.75769489774
Tokyo,66854.60240264313
New York,139774.52117990368
Mumbai,55957.3811957279
Mumbai,44073.67141191811
London,122979.06608261079
Paris,71265.9221211722
London,147769.11990076007
Paris,77424.5067298468
Tokyo,71863.02803978743
Tokyo,69396.18783210522
New York,131470.6185056659
Paris,79635.5359157722
New York,131300.4778251114
Mumbai,65064.407091469824
Paris,76111.9095882592
London,131244.10703345388
Mumbai,54220.19285449468
Mumbai,53323.83139497255
London,149845.73919177963
Mumbai,56361.433636549074
Paris,67646.05111369611
New York,136068.7734157693
Mumbai,44547.5287860964
Paris,65928.12934194026
Tokyo,89122.26461031745
Paris,88206.16674603692
New York,139801.08992413766
Paris,79336.35344066727
London,135967.7259344693
New York,131683.3695591913
Tokyo,67407.22280002756
London,145156.47644708486
Paris,75685.56941352782
New York,138268.14973796418
Tokyo,81270.41172861095
London,125315.12775815597
Tokyo,75223.39098359227
Paris,85321.6196455615
Tokyo,67051.11644411476
Mumbai,64920.65531560231
London,136344.82972635562
Tokyo,64957.2615132781
Paris,82489.53278493807
Paris,94991.41412467742
Tokyo,64515.64474990241
Paris,89502.70790358585
New York,132073.0900318756
New York,137823.88329460088
New York,137345.77923121414
Mumbai,49014.68156801297
Tokyo,69774.6935269335
Mumbai,63775.64175888758
Paris,78843.36535661938
Mumbai,61924.54086135427
Paris,69439.52442097504
Paris,90576.7334570466
London,141326.54150046958
New York,139069.42808834833
Paris,68971.17137104917
London,137790.43501081792
New York,135991.20585040326
Paris,75603.82221640347
Paris,78753.99273707773
Mumbai,41139.446898695605
Mumbai,62375.80115881036
New York,135493.22479403173
Paris,66732.23155607522
Tokyo,80422.67678881457
Mumbai,54003.462316935635
New York,130344.61259425
